URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
108886,873,6051,Independent school,49,16,33,32.65%,67.35%,37,75.51%,12,24.49%,,,,,,,,NA,NA,0.00%
110593,873,1001,State-funded nursery,57,29,28,50.88%,49.12%,1,1.75%,8,14.04%,27,30,0,47.40%,52.60%,0,0,NA,NA,0.00%
110594,873,1002,State-funded nursery,103,58,45,56.31%,43.69%,1,0.97%,0,0.00%,29,66,8,28.20%,64.10%,0.078,3,NA,NA,0.00%
110595,873,1003,State-funded nursery,107,57,50,53.27%,46.73%,0,0.00%,2,1.87%,15,92,0,14.00%,86.00%,0,0,NA,NA,0.00%
110596,873,1005,State-funded nursery,81,35,46,43.21%,56.79%,2,2.47%,12,14.81%,25,56,0,30.90%,69.10%,0,3,NA,NA,0.00%
110597,873,1006,State-funded nursery,84,49,35,58.33%,41.67%,0,0.00%,17,20.24%,24,60,0,28.60%,71.40%,0,0,NA,NA,0.00%
110598,873,1007,State-funded nursery,102,47,55,46.08%,53.92%,1,0.98%,20,19.61%,56,46,0,54.90%,45.10%,0,0,NA,NA,0.00%
110602,873,2002,State-funded primary,365,187,178,51.23%,48.77%,9,2.47%,59,16.16%,17,348,0,4.70%,95.30%,0,74,74,365,20.27%
110603,873,2004,State-funded primary,195,97,98,49.74%,50.26%,1,0.51%,23,11.79%,46,149,0,23.60%,76.40%,0,28,30,195,15.38%
110604,873,2006,State-funded primary,480,227,253,47.29%,52.71%,19,3.96%,57,11.88%,61,393,26,12.70%,81.90%,0.054,92,94,480,19.58%
110606,873,2010,State-funded primary,105,52,53,49.52%,50.48%,8,7.62%,12,11.43%,5,100,0,4.80%,95.20%,0,14,14,105,13.33%
110607,873,2011,State-funded primary,77,31,46,40.26%,59.74%,0,0.00%,20,25.97%,6,65,6,7.80%,84.40%,0.078,8,8,77,10.39%
110608,873,2012,State-funded primary,76,36,40,47.37%,52.63%,6,7.89%,16,21.05%,4,72,0,5.30%,94.70%,0,19,19,76,25.00%
110611,873,2016,State-funded primary,130,50,80,38.46%,61.54%,4,3.08%,25,19.23%,20,110,0,15.40%,84.60%,0,27,27,130,20.77%
110614,873,2028,State-funded primary,376,187,189,49.73%,50.27%,19,5.05%,62,16.49%,31,327,18,8.20%,87.00%,0.048,83,83,376,22.07%
110615,873,2029,State-funded primary,191,92,99,48.17%,51.83%,6,3.14%,36,18.85%,6,177,8,3.10%,92.70%,0.042,34,35,191,18.32%
110616,873,2031,State-funded primary,208,101,107,48.56%,51.44%,2,0.96%,22,10.58%,24,184,0,11.50%,88.50%,0,35,35,208,16.83%
110617,873,2033,State-funded primary,315,161,154,51.11%,48.89%,12,3.81%,33,10.48%,36,262,17,11.40%,83.20%,0.054,46,47,315,14.92%
110620,873,2046,State-funded primary,306,155,151,50.65%,49.35%,7,2.29%,41,13.40%,26,276,4,8.50%,90.20%,0.013,21,21,306,6.86%
110621,873,2048,State-funded primary,527,252,275,47.82%,52.18%,12,2.28%,61,11.57%,74,446,7,14.00%,84.60%,0.013,109,112,527,21.25%
110622,873,2054,State-funded primary,341,161,180,47.21%,52.79%,11,3.23%,50,14.66%,39,302,0,11.40%,88.60%,0,86,87,341,25.51%
110626,873,2059,State-funded primary,190,99,91,52.11%,47.89%,3,1.58%,24,12.63%,42,148,0,22.10%,77.90%,0,20,20,190,10.53%
110627,873,2060,State-funded primary,98,53,45,54.08%,45.92%,5,5.10%,27,27.55%,2,96,0,2.00%,98.00%,0,28,28,98,28.57%
110630,873,2064,State-funded primary,104,56,48,53.85%,46.15%,15,14.42%,21,20.19%,4,100,0,3.80%,96.20%,0,26,26,86,30.23%
110631,873,2065,State-funded primary,203,97,106,47.78%,52.22%,10,4.93%,32,15.76%,8,195,0,3.90%,96.10%,0,42,43,203,21.18%
110632,873,2066,State-funded primary,209,106,103,50.72%,49.28%,2,0.96%,22,10.53%,5,204,0,2.40%,97.60%,0,30,30,209,14.35%
110633,873,2068,State-funded primary,101,46,55,45.54%,54.46%,4,3.96%,29,28.71%,7,94,0,6.90%,93.10%,0,43,44,101,43.56%
110635,873,2070,State-funded primary,286,155,131,54.20%,45.80%,5,1.75%,30,10.49%,25,261,0,8.70%,91.30%,0,48,53,286,18.53%
110637,873,2074,State-funded primary,398,201,197,50.50%,49.50%,9,2.26%,69,17.34%,56,341,1,14.10%,85.70%,0.003,101,102,398,25.63%
110638,873,2075,State-funded primary,211,104,107,49.29%,50.71%,16,7.58%,35,16.59%,6,205,0,2.80%,97.20%,0,70,72,211,34.12%
110643,873,2082,State-funded primary,153,80,73,52.29%,47.71%,9,5.88%,28,18.30%,9,144,0,5.90%,94.10%,0,58,59,153,38.56%
110644,873,2083,State-funded primary,108,65,43,60.19%,39.81%,7,6.48%,22,20.37%,6,102,0,5.60%,94.40%,0,31,32,108,29.63%
110645,873,2084,State-funded primary,180,81,99,45.00%,55.00%,3,1.67%,25,13.89%,10,170,0,5.60%,94.40%,0,43,43,180,23.89%
110649,873,2091,State-funded primary,194,93,101,47.94%,52.06%,6,3.09%,36,18.56%,55,139,0,28.40%,71.60%,0,51,51,169,30.18%
110657,873,2107,State-funded primary,381,194,187,50.92%,49.08%,10,2.62%,50,13.12%,186,193,2,48.80%,50.70%,0.005,65,67,381,17.59%
110658,873,2109,State-funded primary,222,123,99,55.41%,44.59%,3,1.35%,19,8.56%,50,170,2,22.50%,76.60%,0.009,16,16,222,7.21%
110663,873,2115,State-funded primary,344,181,163,52.62%,47.38%,23,6.69%,78,22.67%,93,247,4,27.00%,71.80%,0.012,148,150,344,43.60%
110664,873,2118,State-funded primary,381,189,192,49.61%,50.39%,10,2.62%,63,16.54%,99,279,3,26.00%,73.20%,0.008,161,162,381,42.52%
110665,873,2119,State-funded primary,228,106,122,46.49%,53.51%,22,9.65%,40,17.54%,97,129,2,42.50%,56.60%,0.009,55,55,211,26.07%
110666,873,2121,State-funded primary,400,200,200,50.00%,50.00%,34,8.50%,37,9.25%,143,254,3,35.80%,63.50%,0.008,69,69,400,17.25%
110668,873,2123,State-funded primary,249,112,137,44.98%,55.02%,13,5.22%,26,10.44%,86,163,0,34.50%,65.50%,0,105,105,211,49.76%
110673,873,2205,State-funded primary,75,28,47,37.33%,62.67%,4,5.33%,12,16.00%,12,63,0,16.00%,84.00%,0,15,16,75,21.33%
110676,873,2208,State-funded primary,224,108,116,48.21%,51.79%,3,1.34%,41,18.30%,9,215,0,4.00%,96.00%,0,34,34,191,17.80%
110679,873,2211,State-funded primary,263,134,129,50.95%,49.05%,3,1.14%,28,10.65%,16,247,0,6.10%,93.90%,0,25,26,263,9.89%
110680,873,2212,State-funded primary,181,91,90,50.28%,49.72%,6,3.31%,32,17.68%,8,173,0,4.40%,95.60%,0,14,14,181,7.73%
110685,873,2217,State-funded primary,134,64,70,47.76%,52.24%,11,8.21%,22,16.42%,7,127,0,5.20%,94.80%,0,39,41,134,30.60%
110687,873,2219,State-funded primary,186,87,99,46.77%,53.23%,11,5.91%,19,10.22%,13,173,0,7.00%,93.00%,0,35,36,186,19.35%
110698,873,2232,State-funded primary,234,117,117,50.00%,50.00%,13,5.56%,28,11.97%,98,136,0,41.90%,58.10%,0,55,56,234,23.93%
110702,873,2239,State-funded primary,299,154,145,51.51%,48.49%,14,4.68%,38,12.71%,13,283,3,4.30%,94.60%,0.01,83,84,299,28.09%
110703,873,2240,State-funded primary,130,71,59,54.62%,45.38%,3,2.31%,29,22.31%,14,116,0,10.80%,89.20%,0,24,25,130,19.23%
110707,873,2246,State-funded primary,206,104,102,50.49%,49.51%,6,2.91%,25,12.14%,100,106,0,48.50%,51.50%,0,34,34,170,20.00%
110713,873,2254,State-funded primary,159,66,93,41.51%,58.49%,7,4.40%,17,10.69%,13,146,0,8.20%,91.80%,0,32,32,159,20.13%
110714,873,2255,State-funded primary,199,95,104,47.74%,52.26%,6,3.02%,29,14.57%,18,181,0,9.00%,91.00%,0,41,41,199,20.60%
110717,873,2260,State-funded primary,52,20,32,38.46%,61.54%,4,7.69%,16,30.77%,2,50,0,3.80%,96.20%,0,14,14,52,26.92%
110733,873,2293,State-funded primary,293,143,150,48.81%,51.19%,15,5.12%,42,14.33%,13,280,0,4.40%,95.60%,0,47,47,293,16.04%
110746,873,2312,State-funded primary,218,110,108,50.46%,49.54%,8,3.67%,14,6.42%,94,124,0,43.10%,56.90%,0,29,29,190,15.26%
110748,873,2315,State-funded primary,570,292,278,51.23%,48.77%,18,3.16%,82,14.39%,162,406,2,28.40%,71.20%,0.004,112,114,545,20.92%
110750,873,2317,State-funded primary,646,317,329,49.07%,50.93%,18,2.79%,86,13.31%,182,463,1,28.20%,71.70%,0.002,95,94,623,15.09%
110754,873,2321,State-funded primary,449,208,241,46.33%,53.67%,27,6.01%,62,13.81%,34,412,3,7.60%,91.80%,0.007,92,92,449,20.49%
110758,873,2327,State-funded primary,377,198,179,52.52%,47.48%,6,1.59%,45,11.94%,7,369,1,1.90%,97.90%,0.003,77,79,377,20.95%
110759,873,2328,State-funded primary,264,126,138,47.73%,52.27%,9,3.41%,48,18.18%,34,230,0,12.90%,87.10%,0,41,41,264,15.53%
110760,873,2329,State-funded primary,143,71,72,49.65%,50.35%,20,13.99%,18,12.59%,21,122,0,14.70%,85.30%,0,53,53,143,37.06%
110762,873,2331,State-funded primary,82,37,45,45.12%,54.88%,7,8.54%,20,24.39%,3,79,0,3.70%,96.30%,0,39,39,70,55.71%
110763,873,2333,State-funded primary,403,206,197,51.12%,48.88%,11,2.73%,43,10.67%,185,216,2,45.90%,53.60%,0.005,69,70,375,18.67%
110765,873,2335,State-funded primary,187,90,97,48.13%,51.87%,9,4.81%,24,12.83%,82,105,0,43.90%,56.10%,0,13,15,187,8.02%
110766,873,2336,State-funded primary,398,198,200,49.75%,50.25%,9,2.26%,86,21.61%,143,254,1,35.90%,63.80%,0.003,107,111,364,30.49%
110771,873,2442,State-funded primary,131,63,68,48.09%,51.91%,4,3.05%,11,8.40%,7,124,0,5.30%,94.70%,0,18,18,131,13.74%
110772,873,2443,State-funded primary,386,186,200,48.19%,51.81%,13,3.37%,36,9.33%,95,291,0,24.60%,75.40%,0,49,50,386,12.95%
110773,873,2444,State-funded primary,365,172,193,47.12%,52.88%,13,3.56%,26,7.12%,64,301,0,17.50%,82.50%,0,39,40,365,10.96%
110775,873,2446,State-funded primary,394,204,190,51.78%,48.22%,10,2.54%,49,12.44%,223,171,0,56.60%,43.40%,0,149,152,394,38.58%
110781,873,3001,State-funded primary,165,75,90,45.45%,54.55%,8,4.85%,18,10.91%,23,141,1,13.90%,85.50%,0.006,24,24,165,14.55%
110784,873,3008,State-funded primary,123,72,51,58.54%,41.46%,1,0.81%,18,14.63%,4,119,0,3.30%,96.70%,0,23,26,118,22.03%
110785,873,3009,State-funded primary,142,64,78,45.07%,54.93%,3,2.11%,17,11.97%,12,128,2,8.50%,90.10%,0.014,24,24,142,16.90%
110786,873,3011,State-funded primary,107,45,62,42.06%,57.94%,5,4.67%,12,11.21%,20,87,0,18.70%,81.30%,0,17,17,107,15.89%
110787,873,3012,State-funded primary,69,30,39,43.48%,56.52%,0,0.00%,12,17.39%,18,51,0,26.10%,73.90%,0,13,13,69,18.84%
110788,873,3014,State-funded primary,414,194,220,46.86%,53.14%,13,3.14%,70,16.91%,21,393,0,5.10%,94.90%,0,47,48,414,11.59%
110791,873,3022,State-funded primary,210,95,115,45.24%,54.76%,3,1.43%,39,18.57%,12,198,0,5.70%,94.30%,0,23,23,210,10.95%
110793,873,3029,State-funded primary,148,80,68,54.05%,45.95%,4,2.70%,39,26.35%,5,143,0,3.40%,96.60%,0,20,20,148,13.51%
110795,873,3032,State-funded primary,185,81,104,43.78%,56.22%,7,3.78%,31,16.76%,14,171,0,7.60%,92.40%,0,27,29,185,15.68%
110796,873,3035,State-funded primary,140,68,72,48.57%,51.43%,3,2.14%,32,22.86%,11,129,0,7.90%,92.10%,0,15,15,140,10.71%
110798,873,3041,State-funded primary,158,72,86,45.57%,54.43%,4,2.53%,25,15.82%,19,139,0,12.00%,88.00%,0,23,23,158,14.56%
110801,873,3050,State-funded primary,183,99,84,54.10%,45.90%,7,3.83%,27,14.75%,86,96,1,47.00%,52.50%,0.005,40,40,152,26.32%
110802,873,3052,State-funded primary,269,135,134,50.19%,49.81%,15,5.58%,49,18.22%,9,250,10,3.30%,92.90%,0.037,59,60,269,22.30%
110804,873,3054,State-funded primary,108,60,48,55.56%,44.44%,6,5.56%,21,19.44%,2,106,0,1.90%,98.10%,0,27,27,102,26.47%
110807,873,3058,State-funded primary,323,171,152,52.94%,47.06%,18,5.57%,52,16.10%,29,294,0,9.00%,91.00%,0,83,87,323,26.93%
