RECTYPE,ALPHAIND,LEA,ESTAB,URN,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,PCON_CODE,PCON_NAME,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNOTFSM6CLA1A,PTNOTFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_B,READ_AVERAGE_G,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,READ_AVERAGE_EAL,READ_AVERAGE_MOBN,MAT_AVERAGE_B,MAT_AVERAGE_G,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_EAL,MAT_AVERAGE_MOBN,GPS_AVERAGE_B,GPS_AVERAGE_G,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_EAL,GPS_AVERAGE_MOBN,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELE,PSENELE,TSENELK,PSENELK,TSENELEK,PSENELEK,TELIG_24,PTFSM6CLA1A_24,PTNOTFSM6CLA1A_24,PTRWM_EXP_24,PTRWM_HIGH_24,PTRWM_EXP_FSM6CLA1A_24,PTRWM_HIGH_FSM6CLA1A_24,PTRWM_EXP_NotFSM6CLA1A_24,PTRWM_HIGH_NotFSM6CLA1A_24,READPROG_24,READPROG_LOWER_24,READPROG_UPPER_24,WRITPROG_24,WRITPROG_LOWER_24,WRITPROG_UPPER_24,MATPROG_24,MATPROG_LOWER_24,MATPROG_UPPER_24,READ_AVERAGE_24,MAT_AVERAGE_24,TELIG_23,PTFSM6CLA1A_23,PTNOTFSM6CLA1A_23,PTRWM_EXP_23,PTRWM_HIGH_23,PTRWM_EXP_FSM6CLA1A_23,PTRWM_HIGH_FSM6CLA1A_23,PTRWM_EXP_NotFSM6CLA1A_23,PTRWM_HIGH_NotFSM6CLA1A_23,READPROG_23,READPROG_LOWER_23,READPROG_UPPER_23,WRITPROG_23,WRITPROG_LOWER_23,WRITPROG_UPPER_23,MATPROG_23,MATPROG_LOWER_23,MATPROG_UPPER_23,READ_AVERAGE_23,MAT_AVERAGE_23,TELIG_3YR,PTRWM_EXP_3YR,PTRWM_HIGH_3YR,READ_AVERAGE_3YR,MAT_AVERAGE_3YR,READPROG_UNADJUSTED,WRITPROG_UNADJUSTED,MATPROG_UNADJUSTED,READPROG_DESCR,WRITPROG_DESCR,MATPROG_DESCR
1,3048,873,2200,145425,Bottisham Community Primary School,Beechwood Avenue,Bottisham,,Cambridge,CB25 9BE,01223811235,E14001224,Ely and East Cambridgeshire,0,,,ACC,0,Does not apply,3-11,0,0,273,41,43,26,17,60%,40%,,,,,,,,,,12,28%,31,72%,8,19%,37,86%,72%,19%,,,,,,,,,,,,,79%,37%,0%,107,77%,33%,0%,107,81%,35%,0%,106,72%,21%,16%,0%,79%,0%,62%,88%,,,,50%,81%,-19,88%,76%,12%,29%,,,,8%,23%,-3,38%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,109,,,,103,109,107,108,106,107,,,,102,108,107,107,105,110,,,,104,108,110,107,,,,50%,90%,,,,58%,84%,,,,58%,90%,,,,50%,81%,,,,17%,45%,,,,17%,39%,,,,17%,42%,,,,8%,26%,35,81%,0,0%,2,5%,6,14%,8,19%,45,18%,82%,69%,7%,50%,0%,73%,8%,,,,,,,,,,108,106,45,22%,78%,51%,9%,30%,10%,57%,9%,-0.2,-2.1,1.6,-1.9,-3.7,-0.1,1.1,-0.7,2.8,105,104,133,64%,11%,107,105
1,31694,873,2232,110698,Westfield Junior School,Ramsey Road,,,St Ives,PE27 5RG,01480375005,E14001298,Huntingdon,0,,,CY,0,Does not apply,7-11,0,0,234,59,58,30,28,52%,48%,,,,,,,,,,17,29%,41,71%,26,45%,54,93%,48%,5%,,,,,,,,,,,,,67%,21%,0%,104,55%,19%,0%,103,66%,12%,0%,102,55%,7%,36%,0%,52%,0%,47%,50%,,,,53%,46%,-16,50%,50%,7%,4%,,,,0%,7%,-11,0%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,103,,,,102,105,104,104,104,100,,,,100,103,102,102,103,103,,,,101,104,102,103,,,,71%,66%,,,,47%,59%,,,,71%,63%,,,,59%,54%,,,,12%,24%,,,,12%,22%,,,,6%,15%,,,,0%,10%,32,55%,0,0%,4,7%,8,14%,12,21%,72,18%,82%,46%,0%,38%,0%,47%,0%,,,,,,,,,,104,103,85,25%,75%,46%,8%,10%,0%,58%,11%,-1.1,-2.5,0.3,-2.0,-3.3,-0.7,-3.3,-4.6,-2.0,105,102,215,47%,5%,104,102
1,20760,873,2239,110702,Priory Junior School,Longsands Road,,,St Neots,PE19 1TF,01480226730,E14001512,St Neots and Mid Cambridgeshire,0,,,CY,0,Does not apply,7-11,0,0,299,69,66,40,26,61%,39%,,,,,,,,,,19,29%,47,71%,4,6%,59,89%,45%,2%,,,,,,,,,,,,,67%,15%,2%,102,67%,14%,2%,102,59%,11%,2%,102,58%,2%,33%,0%,71%,0%,33%,65%,,,,16%,57%,-53,SUPP,46%,0%,4%,,,,0%,2%,-11,SUPP,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,106,,,,97,103,SUPP,102,101,103,,,,99,103,SUPP,102,100,107,,,,98,104,SUPP,103,,,,37%,79%,,,,42%,77%,,,,32%,70%,,,,32%,68%,,,,0%,21%,,,,0%,19%,,,,11%,11%,,,,0%,2%,61,92%,1,2%,3,5%,10,15%,13,20%,75,25%,75%,39%,1%,32%,5%,41%,0%,,,,,,,,,,102,102,88,28%,72%,47%,6%,32%,8%,52%,5%,-2.4,-3.7,-1.1,-3.5,-4.8,-2.2,-4.8,-6.1,-3.6,104,100,229,44%,3%,103,101
1,16946,873,2257,138595,Middlefield Primary Academy,Andrew Road,Eynesbury,,St Neots,PE19 2QE,01480375270,E14001512,St Neots and Mid Cambridgeshire,0,,,ACC,0,Does not apply,5-11,0,0,215,31,31,20,11,65%,35%,,,,,,,,,,6,19%,25,81%,4,13%,30,97%,61%,3%,,,,,,,,,,,,,84%,35%,0%,106,74%,29%,0%,104,68%,10%,0%,102,74%,19%,16%,0%,84%,0%,50%,82%,,,,50%,64%,-19,SUPP,63%,5%,0%,,,,0%,4%,-11,SUPP,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,109,,,,104,106,SUPP,106,101,104,,,,104,102,SUPP,103,103,106,,,,102,104,SUPP,104,,,,83%,84%,,,,67%,76%,,,,83%,64%,,,,50%,80%,,,,17%,40%,,,,17%,32%,,,,0%,12%,,,,0%,24%,27,87%,0,0%,2,6%,3,10%,5,16%,29,28%,72%,72%,0%,50%,0%,81%,0%,,,,,,,,,,107,104,30,20%,80%,50%,7%,50%,0%,50%,8%,1.1,-1.3,3.6,0.9,-1.4,3.3,-1.5,-3.8,0.8,104,101,90,61%,3%,105,102
1,15494,873,2293,110733,Little Paxton Primary School,Gordon Road,Little Paxton,Little Paxton Primary School,St. Neots,PE19 6NG,01480375600,E14001512,St Neots and Mid Cambridgeshire,0,,,CY,0,Does not apply,4-11,0,0,293,47,47,26,21,55%,45%,,,,,,,,,,14,30%,33,70%,1,2%,43,91%,28%,0%,,,,,,,,,,,,,74%,32%,0%,105,68%,19%,0%,103,66%,15%,0%,103,28%,0%,36%,4%,81%,4%,23%,33%,,,,7%,36%,-62,SUPP,28%,0%,0%,,,,0%,0%,-11,SUPP,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,105,,,,101,107,SUPP,105,103,102,,,,97,105,SUPP,102,102,104,,,,98,105,SUPP,102,,,,57%,82%,,,,36%,82%,,,,43%,76%,,,,7%,36%,,,,21%,36%,,,,0%,27%,,,,0%,21%,,,,0%,0%,46,98%,0,0%,2,4%,13,28%,15,32%,53,17%,83%,42%,9%,22%,0%,45%,11%,,,,,,,,,,104,102,49,27%,73%,63%,6%,38%,0%,72%,8%,-1.5,-3.3,0.2,-1.9,-3.6,-0.2,-1.4,-3.0,0.3,105,103,149,44%,5%,105,103
1,12316,873,2318,139087,Histon and Impington Brook Primary School,The Green,Histon,,Cambridge,CB24 9JA,01223712192,E14001512,St Neots and Mid Cambridgeshire,0,,,ACC,0,Does not apply,4-11,0,0,376,58,58,33,25,57%,43%,,,,,,,,,,6,10%,52,90%,4,7%,57,98%,90%,24%,,,,,,,,,,,,,95%,71%,0%,111,98%,57%,0%,111,97%,64%,0%,111,95%,28%,5%,0%,98%,0%,85%,96%,,,,67%,92%,-2,SUPP,91%,9%,44%,,,,0%,27%,-11,SUPP,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,114,,,,113,111,SUPP,112,111,111,,,,107,111,SUPP,111,110,113,,,,108,111,SUPP,111,,,,100%,94%,,,,100%,98%,,,,83%,98%,,,,83%,96%,,,,67%,71%,,,,33%,60%,,,,33%,67%,,,,17%,29%,54,93%,0,0%,0,0%,6,10%,6,10%,119,13%,87%,90%,18%,47%,0%,96%,21%,,,,,,,,,,109,109,118,14%,86%,82%,22%,35%,0%,90%,26%,4.3,3.1,5.5,1.1,-0.1,2.2,3.3,2.2,4.5,111,109,295,87%,21%,111,110
1,29224,873,2443,110772,Stukeley Meadows Primary School,Wertheim Way,,,Huntingdon,PE29 6UH,01480398060,E14001298,Huntingdon,0,,,CY,0,Does not apply,5-11,0,0,386,62,61,28,33,46%,54%,,,,,,,,,,12,20%,49,80%,18,30%,59,97%,38%,2%,,,,,,,,,,,,,72%,34%,0%,104,72%,31%,3%,105,57%,26%,0%,102,52%,3%,33%,0%,77%,0%,36%,39%,,,,17%,43%,-52,44%,39%,0%,3%,,,,0%,2%,-11,6%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,104,,,,102,105,104,104,105,100,,,,97,104,104,103,104,106,,,,102,106,106,105,,,,50%,78%,,,,42%,80%,,,,33%,63%,,,,33%,57%,,,,17%,39%,,,,17%,35%,,,,8%,31%,,,,0%,4%,43,70%,0,0%,4,7%,7,11%,11,18%,59,15%,85%,51%,0%,33%,0%,54%,0%,,,,,,,,,,107,105,59,20%,80%,51%,3%,25%,0%,57%,4%,2.4,0.7,4.0,-3.7,-5.3,-2.1,1.1,-0.4,2.7,106,105,179,46%,2%,106,104
1,6760,873,5204,136339,Crosshall Junior School,Great North Road,Eaton Ford,,St Neots,PE19 7GG,01480475972,E14001512,St Neots and Mid Cambridgeshire,0,,,ACC,0,None,7-11,0,0,371,102,100,54,46,54%,46%,,,,,,,,,,21,21%,79,79%,15,15%,96,96%,75%,13%,,,,,,,,,,,,,81%,34%,0%,107,83%,32%,0%,106,82%,36%,0%,106,84%,15%,10%,0%,82%,0%,72%,78%,,,,67%,77%,-2,87%,77%,7%,20%,,,,0%,16%,-11,20%,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,108,,,,104,107,107,107,106,106,,,,102,107,108,106,106,108,,,,103,107,108,107,,,,67%,85%,,,,76%,85%,,,,67%,86%,,,,71%,87%,,,,19%,38%,,,,19%,35%,,,,19%,41%,,,,0%,19%,85,85%,0,0%,4,4%,17,17%,21,21%,93,13%,87%,68%,9%,67%,0%,68%,10%,,,,,,,,,,107,106,117,19%,81%,69%,13%,68%,0%,69%,16%,-0.7,-1.8,0.5,-1.6,-2.7,-0.5,-1.1,-2.2,0.0,107,106,310,71%,12%,107,106
2,16482,873,7008,147661,The Martin Bacon Academy,Stirling Road,,,Northstowe,CB24 1DH,01223340800,E14001512,St Neots and Mid Cambridgeshire,0,,,FS,0,Unknown,3-19,0,0,136,8,8,8,0,100%,0%,,,,,,,,,,3,38%,5,63%,1,13%,6,75%,0%,0%,,,,,,,,,,,,,0%,0%,0%,,0%,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,,,,,SUPP,SUPP,SUPP,SUPP,0%,0%,,,,,SUPP,SUPP,SUPP,SUPP,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPP,SUPP,SUPP,,,,,,,SUPP,SUPP,SUPP,,,,,,,SUPP,SUPP,SUPP,,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,7,88%,0,0%,8,100%,0,0%,8,100%,9,67%,33%,0%,0%,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,,,10,30%,70%,0%,0%,SUPP,SUPP,SUPP,SUPP,-6.1,-10.7,-1.4,-7.7,-12.2,-3.2,-9.2,-13.6,-4.8,,,27,0%,0%
1,4362,873,2004,110603,Caldecote Primary School,Highfields Road,Highfields Caldecote,,Cambridge,CB23 7NX,01954210263,E14001512,St Neots and Mid Cambridgeshire,0,,,CY,0,Does not apply,4-11,0,0,195,33,33,15,18,45%,55%,,,,,,,,,,5,15%,28,85%,6,18%,33,100%,61%,6%,,,,,,,,,,,,,100%,42%,0%,109,91%,61%,0%,110,88%,33%,0%,107,67%,6%,24%,0%,91%,0%,40%,78%,,,,SUPP,SUPP,SUPP,33%,61%,0%,11%,,,,SUPP,SUPP,SUPP,0%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,110,,,,SUPP,SUPP,107,109,107,107,,,,SUPP,SUPP,108,107,107,112,,,,SUPP,SUPP,114,110,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,,,,SUPP,SUPP,27,82%,0,0%,0,0%,5,15%,5,15%,32,16%,84%,88%,22%,SUPP,SUPP,SUPP,SUPP,,,,,,,,,,110,109,31,26%,74%,71%,16%,38%,13%,83%,17%,2.1,-0.3,4.5,2.3,-0.1,4.6,0.9,-1.4,3.2,110,107,96,73%,15%,110,108
