URN,SCHNAME,SCHOOLTYPE,PCON_NAME,NOR,TSENELSE,TSENELK_x,NUMFSM,PNUMFSMEVER,PTRWM_EXP,PTRWM_HIGH,READ_AVERAGE,MAT_AVERAGE
110602,Bassingbourn Primary School,State-funded primary,South Cambridgeshire,365,9,59,74.0,20.27,52.0,7.0,104.0,103.0
110603,Caldecote Primary School,State-funded primary,St Neots and Mid Cambridgeshire,195,1,23,28.0,15.38,61.0,6.0,109.0,107.0
110604,Cottenham Primary School,State-funded primary,Ely and East Cambridgeshire,480,19,57,92.0,19.58,61.0,8.0,107.0,105.0
110606,Fen Drayton Primary School,State-funded primary,St Neots and Mid Cambridgeshire,105,8,12,14.0,13.33,58.0,11.0,107.0,105.0
110607,Fowlmere Primary School,State-funded primary,South Cambridgeshire,77,0,20,8.0,10.39,25.0,0.0,103.0,100.0
110608,Foxton Primary School,State-funded primary,South Cambridgeshire,76,6,16,19.0,25.0,67.0,33.0,108.0,107.0
110611,Great Abington Primary School,State-funded primary,South Cambridgeshire,130,4,25,27.0,20.77,45.0,10.0,102.0,104.0
110614,Melbourn Primary School,State-funded primary,South Cambridgeshire,376,19,62,83.0,22.07,62.0,3.0,106.0,104.0
110615,Meldreth Primary School,State-funded primary,South Cambridgeshire,191,6,36,34.0,18.32,79.0,17.0,109.0,108.0
110616,Over Primary School,State-funded primary,St Neots and Mid Cambridgeshire,208,2,22,35.0,16.83,21.0,0.0,103.0,102.0
110617,Pendragon Community Primary School,State-funded primary,St Neots and Mid Cambridgeshire,315,12,33,46.0,14.92,55.0,6.0,105.0,104.0
110620,Swavesey Primary School,State-funded primary,St Neots and Mid Cambridgeshire,306,7,41,21.0,6.86,73.0,8.0,107.0,105.0
110621,Waterbeach Community Primary School,State-funded primary,Ely and East Cambridgeshire,527,12,61,109.0,21.25,57.0,6.0,105.0,102.0
110622,Willingham Primary School,State-funded primary,St Neots and Mid Cambridgeshire,341,11,50,86.0,25.51,51.0,3.0,105.0,104.0
110626,Meridian Primary School,State-funded primary,South Cambridgeshire,190,3,24,20.0,10.53,58.0,6.0,106.0,105.0
